"1","5 Minutes to Save the World","193","136","60","1417219294"
"2","18th Century Fashion","86","175","116","1417219598"
"3","100","162","145","96","1417218441"
"4","A Game for Kids","90","172","124","1417219550"
"5","A Letter is a Key","127","174","81","1417219502"
"6","A Rushed Expedition","173","162","56","1417217586"
"7","Abnormal Interaction","164","146","58","1417218794"
"8","Accident","160","157","48","1417218469"
"9","Acronyms","74","193","100","1417219512"
"10","Across the Border","165","146","60","1417219576"
"11","Active Life","87","213","72","1417216516"
"12","Activism","91","209","95","1417219088"
"13","Adaptation","197","138","50","1417219125"
"14","Addictive","109","182","74","1417217716"
"15","Adrenaline","162","160","46","1417217968"
"16","Adventure","150","143","64","1417219386"
"17","Adventures in Space","164","142","67","1417218033"
"18","Advertising","91","174","133","1417219826"
"19","After the End","209","138","50","1417219555"
"20","Agility","144","166","55","1417219394"
"21","Ain't Nobody Got Time for That","156","140","120","1417218752"
"22","All Hands on Deck","138","171","79","1417218050"
"23","All Roads Lead To...","179","134","65","1417219250"
"24","All That is Gold Does Not Glitter","117","150","95","1417219532"
"25","Alpaca","112","175","103","1417219281"
"26","Alternate Ending","175","155","64","1417218789"
"27","Alternative Choices","199","135","49","1417219511"
"28","Alternative History","185","161","61","1417219481"
"29","Alternative Reality","162","131","48","1417217978"
"30","America","42","150","150","1417219495"
"31","Amnesia","136","182","74","1417218296"
"32","Anaconda","61","200","108","1417219668"
"33","Analysis Paralysis","117","172","101","1417219562"
"34","Ancient","204","129","64","1417219768"
"35","Ancient Arts","133","163","65","1417219769"
"36","Ancient Modernism","162","160","87","1417219178"
"37","Ancient Ruins","195","149","42","1417219730"
"38","And We Leave Them Behind","158","133","67","1417217085"
"39","Animals","110","185","78","1417218316"
"40","Animation","96","186","106","1417219677"
"41","Annihilation","154","159","67","1417218800"
"42","Another Dimension","218","134","64","1417219716"
"43","Another Way Around","191","121","47","1417218722"
"44","Another World","177","132","51","1417219323"
"45","Anti-gravity","182","168","58","1417219633"
"46","Anti-violence","169","154","76","1417218628"
"47","Antivirus","155","178","66","1417219356"
"48","Anxiety","122","175","72","1417219565"
"49","Apec","49","210","115","1417218455"
"50","Apocalypse","185","149","82","1417218940"
"51","Apocalyptic","156","155","68","1417218024"
"52","Arabic","66","184","130","1417217999"
"53","Arcade","135","156","88","1417219221"
